filename,path,modified,target
(Movies4u.Foo).Kuberaa.2025.720p.DS4K.WEB-DL.Hindi.ORG.5.1-Telugu.5.1.x264.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\(Movies4u.Foo).Kuberaa.2025.720p.DS4K.WEB-DL.Hindi.ORG.5.1-Telugu.5.1.x264.lnk,2025-07-15T16:11:22.282295,C:\Users\Sahil\Downloads\(Movies4u.Foo).Kuberaa.2025.720p.DS4K.WEB-DL.Hindi.ORG.5.1-Telugu.5.1.x264.mkv
.gitignore.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\.gitignore.lnk,2025-11-06T09:47:23.842612,C:\Users\Sahil\OneDrive\Desktop\file-metadata-analyzer\.gitignore
1.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1.lnk,2025-10-19T22:44:16.777903,C:\Users\Sahil\OneDrive\Desktop\HTML\DAY 1\images\1.jpg
1030010189-preview.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1030010189-preview.lnk,2025-10-22T10:00:16.761906,C:\Users\Sahil\Downloads\1030010189-preview.mp4
12440_3_556355_1755942004_Palo Alto Networks Course Certificate of Completion (1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\12440_3_556355_1755942004_Palo Alto Networks Course Certificate of Completion (1).lnk,2025-10-24T20:32:56.067067,C:\Users\Sahil\Downloads\12440_3_556355_1755942004_Palo Alto Networks Course Certificate of Completion (1).pdf
12440_3_556355_1755942004_Palo Alto Networks Course Certificate of Completion_page-0001.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\12440_3_556355_1755942004_Palo Alto Networks Course Certificate of Completion_page-0001.lnk,2025-10-29T17:08:25.782481,C:\Users\Sahil\Downloads\12440_3_556355_1755942004_Palo Alto Networks Course Certificate of Completion_page-0001.jpg
1755715715332-hexdump.file (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1755715715332-hexdump.file (2).lnk,2025-08-24T00:49:05.324653,C:\Users\Sahil\Downloads\1755715715332-hexdump.file
1755715715332-hexdump.file.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1755715715332-hexdump.file.lnk,2025-08-21T23:25:27.292032,C:\Users\Sahil\Downloads\1755715715332-hexdump.file
1755716046017-loudspeaker.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1755716046017-loudspeaker.lnk,2025-08-21T23:02:34.742105,C:\Users\Sahil\Downloads\1755716046017-loudspeaker.zip
1755947336892-ciphertext (1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1755947336892-ciphertext (1).lnk,2025-08-24T00:47:11.037924,C:\Users\Sahil\Downloads\1755947336892-ciphertext (1).txt
1755947336892-ciphertext.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1755947336892-ciphertext.lnk,2025-08-23T22:54:54.422301,C:\Users\Sahil\Downloads\1755947336892-ciphertext.txt
1c6e37bb-269f-45c4-b298-d7a69a8492e4.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\1c6e37bb-269f-45c4-b298-d7a69a8492e4.lnk,2025-10-24T19:48:04.952944,C:\Users\Sahil\Downloads\1c6e37bb-269f-45c4-b298-d7a69a8492e4.png
20240323_195655.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\20240323_195655.lnk,2025-04-09T23:42:12.091644,C:\Users\Sahil\Downloads\20240323_195655.mp4
20240323_205619.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\20240323_205619.lnk,2025-04-09T23:42:25.821861,C:\Users\Sahil\Downloads\20240323_205619.mp4
2025-10-12 22-41-20.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\2025-10-12 22-41-20.lnk,2025-10-12T22:49:46.937138,C:\Users\Sahil\Downloads\2025-10-12 22-41-20.pdf
2824771810.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\2824771810.lnk,2025-11-03T13:41:43.036964,C:\Users\Sahil\Downloads\2824771810.pdf
5d9fab90-f3ac-4bde-9fc5-5d1fdbe5c428.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\5d9fab90-f3ac-4bde-9fc5-5d1fdbe5c428.lnk,2024-03-19T14:37:56.735313,C:\Users\Sahil\Downloads\5d9fab90-f3ac-4bde-9fc5-5d1fdbe5c428.m4a
888 Rat v1.2.6 (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\888 Rat v1.2.6 (2).lnk,2025-10-14T14:12:15.590431,C:\Users\Sahil\Downloads\application and data security\888 Rat v1.2.6
888 Rat v1.2.6.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\888 Rat v1.2.6.lnk,2025-10-12T23:30:38.526088,C:\Users\Sahil\Downloads\application and data security\888 Rat v1.2.6.zip
9223086_95586651761245178839.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\9223086_95586651761245178839.lnk,2025-10-24T00:17:09.480151,C:\Users\Sahil\Downloads\9223086_95586651761245178839.pdf
9223086_95586651761245178839_page-0001.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\9223086_95586651761245178839_page-0001.lnk,2025-10-29T17:10:25.959940,C:\Users\Sahil\Downloads\9223086_95586651761245178839_page-0001.jpg
Anora.2024.Web-DL.1080p.Hindi.English.DD.5.1.x264.ESub.Vegamovies.is.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Anora.2024.Web-DL.1080p.Hindi.English.DD.5.1.x264.ESub.Vegamovies.is.lnk,2025-07-23T12:32:18.246570,C:\Users\Sahil\Downloads\Anora.2024.Web-DL.1080p.Hindi.English.DD.5.1.x264.ESub.Vegamovies.is.mkv
application and data security.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\application and data security.lnk,2025-10-12T21:54:30.818985,C:\Users\Sahil\Downloads\application and data security
